,user_id,history_item_title,item_title,history_item_id,item_id,history_item_sid,item_sid
10,A3011,"['Neiko 50458A Snap Ring Shop Assortment, 300 Count | 18 Sizes (1/8"" - 1-1/4"") | Hardened Steel', 'Bissell 9595A CleanView Bagless Vacuum with OnePass', '3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)', 'LulzBot TAZ 6 3D Printer']","HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 3.00 mm, Black","[420, 413, 2869, 1936]",1937,"['<a_34><b_168><c_229>', '<a_141><b_129><c_167>', '<a_126><b_132><c_189>', '<a_29><b_232><c_175>']",<a_126><b_70><c_11>
11,A3011,"['Neiko 50458A Snap Ring Shop Assortment, 300 Count | 18 Sizes (1/8"" - 1-1/4"") | Hardened Steel', 'Bissell 9595A CleanView Bagless Vacuum with OnePass', '3D Solutech Real Orange 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)', 'LulzBot TAZ 6 3D Printer', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 3.00 mm, Black']","HATCHBOX PETG 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black","[420, 413, 2869, 1936, 1937]",2798,"['<a_34><b_168><c_229>', '<a_141><b_129><c_167>', '<a_126><b_132><c_189>', '<a_29><b_232><c_175>', '<a_126><b_70><c_11>']",<a_126><b_171><c_173>
12,A3392,"['Gorilla Crystal Clear Duct Tape, 1.88&rdquo; x 9 yd, Clear, (Pack of 1)', 'X-Treme Tape TPE-X36ZLB Silicone Rubber Self Fusing Tape, 1"" x 36\', Triangular, Black', 'Waterpik Sensonic Professional Toothbrush (SR-3000)', 'XFasten Anti Slip Tape, 4-Inch by 15-Foot Pet-Safe, Hypo-Allergenic, Weather proof and Non Skid Indoor and Outdoor Safety Track Tape']",Install Bay CCL1614 Crimp Cap Nylon Connector 16/14 Gauge Long Neck -100-Pack,"[148, 309, 526, 1309]",1169,"['<a_15><b_82><c_71>', '<a_15><b_117><c_86>', '<a_113><b_47><c_238>', '<a_203><b_163><c_75>']",<a_44><b_97><c_180>
13,A248,"['Anytime Tools Angle Block Set 30-60-90 & 45-45-90 Precision +/- 20 Seconds, Machinist Tool, 2 Piece Set', 'Anderson Metals Brass Pipe Fitting, Adapter, 1/8"" Male Pipe x 1/8"" Female Pipe', 'T&uuml;rlen Precision TEST DIAL INDICATOR 7 JEWELS .0005"" 0-15-0', 'Master Magnetics Magnet Sheet, Flexible Magnet Sheet with Adhesive, 12"" Wide, 24"" Long, 08504', 'Forney 20859 Cutting Fluid, Industrial Pro Tap Magic, 1-Gallon', '304 Stainless Steel Round Rod, Unpolished (Mill) Finish, Annealed, AMS 5639/ASTM A276/AMS QQ-S 763/ASTM A276, 0.625"" Diameter, 60"" Length', '304 Stainless Steel Round Rod, Unpolished (Mill) Finish, Annealed, AMS 5639/ASTM A276/AMS QQ-S 763/ASTM A276, 0.3125"" Diameter, 48"" Length', 'Grizzly G8748 Hand Tapping Machine', 'Uxcell a12121300ux0202 Cutting Slotting End Mill Router Bit 4 Flute 1/4"" Shank 1/4"" Diameter', 'Atoplee 5pcs Machine Screw Metric Thread Plug Taps Set M3 M4 M5 M6 M8']","Drill America DWTSMT15X1.5 HSS Metric Tap, Special Size, M15 x 1.5","[919, 763, 47, 920, 34, 880, 882, 695, 921, 922]",923,"['<a_27><b_55><c_95>', '<a_28><b_133><c_5>', '<a_25><b_1><c_7>', '<a_233><b_33><c_246>', '<a_64><b_56><c_131>', '<a_121><b_18><c_239>', '<a_121><b_18><c_199>', '<a_191><b_49><c_236>', '<a_26><b_161><c_102>', '<a_26><b_200><c_133>']",<a_26><b_14><c_230>
14,A248,"['Anderson Metals Brass Pipe Fitting, Adapter, 1/8"" Male Pipe x 1/8"" Female Pipe', 'T&uuml;rlen Precision TEST DIAL INDICATOR 7 JEWELS .0005"" 0-15-0', 'Master Magnetics Magnet Sheet, Flexible Magnet Sheet with Adhesive, 12"" Wide, 24"" Long, 08504', 'Forney 20859 Cutting Fluid, Industrial Pro Tap Magic, 1-Gallon', '304 Stainless Steel Round Rod, Unpolished (Mill) Finish, Annealed, AMS 5639/ASTM A276/AMS QQ-S 763/ASTM A276, 0.625"" Diameter, 60"" Length', '304 Stainless Steel Round Rod, Unpolished (Mill) Finish, Annealed, AMS 5639/ASTM A276/AMS QQ-S 763/ASTM A276, 0.3125"" Diameter, 48"" Length', 'Grizzly G8748 Hand Tapping Machine', 'Uxcell a12121300ux0202 Cutting Slotting End Mill Router Bit 4 Flute 1/4"" Shank 1/4"" Diameter', 'Atoplee 5pcs Machine Screw Metric Thread Plug Taps Set M3 M4 M5 M6 M8', 'Drill America DWTSMT15X1.5 HSS Metric Tap, Special Size, M15 x 1.5']","Swordfish 32051 Brass Plated Wood Screw Assortment, 500 Piece","[763, 47, 920, 34, 880, 882, 695, 921, 922, 923]",15,"['<a_28><b_133><c_5>', '<a_25><b_1><c_7>', '<a_233><b_33><c_246>', '<a_64><b_56><c_131>', '<a_121><b_18><c_239>', '<a_121><b_18><c_199>', '<a_191><b_49><c_236>', '<a_26><b_161><c_102>', '<a_26><b_200><c_133>', '<a_26><b_14><c_230>']",<a_169><b_36><c_148>
15,A487,"['Eagle UI-50-FS Red Galvanized Steel Type I Gasoline Safety Can with Funnel, 5 Gallon Capacity, 13.5"" Height, 12.5"" Diameter', 'MLCS 9080 Billy Pedal Foot Switch, Deadman Style', 'Parts Express Cable TV In-Line Coaxial Surge Protector', 'URBEST 530 Pcs 2:1 Heat Shrink Tubing Tube Sleeving Wrap Cable Wire 5 Color 8 Size', 'SummitLink 415 Pcs Black Assorted Heat Shrink Tube 10 Sizes Tubing Wrap Sleeve Set Combo']",CB 7101S1 72-Pieces Blank Microscope Slides & 100-Pieces Square Cover Glass,"[1497, 59, 940, 149, 1502]",637,"['<a_79><b_177><c_65>', '<a_147><b_36><c_143>', '<a_167><b_49><c_189>', '<a_55><b_146><c_248>', '<a_55><b_152><c_24>']",<a_170><b_2><c_206>
16,A487,"['Eagle UI-50-FS Red Galvanized Steel Type I Gasoline Safety Can with Funnel, 5 Gallon Capacity, 13.5"" Height, 12.5"" Diameter', 'MLCS 9080 Billy Pedal Foot Switch, Deadman Style', 'Parts Express Cable TV In-Line Coaxial Surge Protector', 'URBEST 530 Pcs 2:1 Heat Shrink Tubing Tube Sleeving Wrap Cable Wire 5 Color 8 Size', 'SummitLink 415 Pcs Black Assorted Heat Shrink Tube 10 Sizes Tubing Wrap Sleeve Set Combo', 'CB 7101S1 72-Pieces Blank Microscope Slides & 100-Pieces Square Cover Glass']",AmScope 25pc Assorted Specimen Collection of Prepared Microscope Slides Glass Slide with Storage Case,"[1497, 59, 940, 149, 1502, 637]",1323,"['<a_79><b_177><c_65>', '<a_147><b_36><c_143>', '<a_167><b_49><c_189>', '<a_55><b_146><c_248>', '<a_55><b_152><c_24>', '<a_170><b_2><c_206>']",<a_170><b_209><c_53>
17,A491,"['Eagle UI-50-FS Red Galvanized Steel Type I Gasoline Safety Can with Funnel, 5 Gallon Capacity, 13.5"" Height, 12.5"" Diameter', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black', '3D Solutech Hot Pink 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)', 'Filabot TCBL1 Taulman Clear t-glase Filament, 1.75 mm, Black']","HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Glow in the Dark","[1497, 405, 1510, 1511]",862,"['<a_79><b_177><c_65>', '<a_126><b_70><c_202>', '<a_126><b_132><c_10>', '<a_93><b_121><c_118>']",<a_126><b_70><c_1>
18,A1431,"['Chemical Guys ACC_121.32HD Chemical Resistant Heavy Duty Bottle and Sprayer (32 oz)', 'Country Brook Design | Black Sew on Hook and Loop (2 inch, 10 yards)', 'iRobot Braava 380t Robot Mop', 'LASCO 11-1033 PTFE Pipe Sealant Tape, 1/2-Inch x 100-Inch, White', 'Etekcity Lasergrip 1080 Non-Contact Digital Laser Infrared Thermometer Temperature Gun -58~1022 (-50550), Yellow and Black', 'Gardner Bender 19-001 WireGard Screw-On Wire Connectors, 22-16 AWG, Electrical Wire Nut, 14 pk, Grey', 'The Hillman Group 591519 Small Small Wood Screw Assortment, 195-Pack', 'Flex Seal Spray Rubber Sealant Coating, 14-oz, Clear']","Duck Brand 241410 Pittsburgh Steelers NFL Team Logo Duct Tape, 1.88-Inch by 10 Yards, Single Roll","[367, 1769, 509, 134, 238, 568, 439, 712]",470,"['<a_39><b_223><c_53>', '<a_37><b_89><c_156>', '<a_208><b_181><c_67>', '<a_97><b_210><c_202>', '<a_142><b_151><c_66>', '<a_83><b_36><c_90>', '<a_169><b_174><c_223>', '<a_140><b_173><c_63>']",<a_15><b_126><c_57>
19,A1869,"['Amber Glass Bottle 4oz with Dropper(12 pack)', 'American Educational Clear Borosilicate Glass 1000mL Bomex Filtering Flask', 'SEOH BUCHNER FUNNEL Glazed porcelain one piece 90 mm']",Chemical Guys ACC_121.32HD Chemical Resistant Heavy Duty Bottle and Sprayer (32 oz),"[2712, 2268, 663]",367,"['<a_209><b_153><c_125>', '<a_39><b_59><c_161>', '<a_148><b_111><c_253>']",<a_39><b_223><c_53>
20,A2418,"['HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue', 'ROBO 3D PLA 3D Printer Filament, 1 kg Spool, 1.75mm, 0.05mm, Green', 'Neiko 01409A Electronic Digital Caliper with Extra Large LCD Screen | 0 - 12 Inches | Inch/Fractions/Millimeter Conversion', 'HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black', 'HATCHBOX 2 Spool 3D Printer Filament Tabletop Wall Mount Rack', 'Antique Bronze Metallic PLA - 3D Printing Filament (1.75mm 0.5 kg) Made in the USA', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Gold', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Pink', 'HATCHBOX 3D Printer Filament, Dimensional Accuracy +/- 0.03mm, 1.75 mm, 1 kg Spool, Wood', 'eSUN 1.75mm Black PLA 3D Printer filament 1kg Spool (2.2lbs), Black']","BuildTak 3D Printing Build Surface, 8"" x 8"" Square, Black (Pack of 3)","[44, 2866, 75, 1938, 2228, 1640, 1691, 1252, 2459, 1983]",2189,"['<a_126><b_70><c_74>', '<a_200><b_121><c_187>', '<a_163><b_108><c_200>', '<a_126><b_27><c_235>', '<a_135><b_75><c_7>', '<a_95><b_58><c_5>', '<a_126><b_70><c_16>', '<a_126><b_70><c_212>', '<a_126><b_121><c_157>', '<a_200><b_251><c_117>']",<a_139><b_68><c_98>
21,A3910,"['Dyson DC50 Animal  Compact Upright Vacuum Cleaner, Iron/Purple - Corded', 'DiversiTech 6-9718 Foam Insulation Tape, 1/8"" x 2"" x 30\' Roll, Black', 'AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator', 'AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator', 'AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator', 'Housing Bracket for Big blue 10"" and 20"" filter housings']",URBESTAC 250V 5A SPDT 1NO 1NC Momentary Hinge Roller Lever Micro Switches 3 Pins 10 Pcs,"[1764, 2313, 154, 154, 155, 706]",2697,"['<a_208><b_189><c_105>', '<a_104><b_237><c_45>', '<a_142><b_169><c_0>', '<a_142><b_169><c_0>', '<a_142><b_169><c_0>', '<a_244><b_31><c_148>']",<a_31><b_146><c_25>
22,A4573,"['Pro Gaff Gaffers Tape 1 and 2 inch widths, 17 colors available, 2 inch, Brown', 'Pro Gaff Gaffers Tape 1 and 2 inch widths, 17 colors available, 2 inch, Black', 'Pro Gaff Gaffers Tape 1 and 2 inch widths, 17 colors available, 1 inch, Black', 'SOLOOP 381 Pcs Heat Shrink Tubing, 2:1 Shrink Ratio Assortment Wire Wrap Electrical Cable Tubing Sleeving (Black)', 'NOGA DG10533 Standard Holder with Mag Base-176 Ibs-Hold Power']","Eagle 1610MB Blue High Density Polyethylene Lab Pack Drum with Metal Lever-lock Lid, 14 gallon Capacity, 26.5"" Height, 15"" Diameter","[1044, 1045, 1046, 1873, 1779]",1882,"['<a_15><b_1><c_16>', '<a_15><b_1><c_40>', '<a_15><b_1><c_118>', '<a_55><b_22><c_203>', '<a_116><b_55><c_231>']",<a_114><b_88><c_20>
23,A5128,"['Propylene Glycol 1 Pint', 'Plastic Transfer Pipettes 3ml, Graduated, Pack of 100', '213C2 Karter Scientific Glass Graduated Cylinder 3 Piece Set 10, 50 & 100ml', 'AMMEX - AINPF46100 - Medical Nitrile Gloves - Disposable, Powder Free, Exam Grade, 3 mil, Large, Indigo (Case of 1000)', 'Ultrasac Platinum ULP 013009065 &ndash; Single Kitchen Drawstring Trash Bags, 13 gal, Tall (Pack of 65)', 'Rubbermaid Commercial Products Executive Janitorial Housekeeping Quick Cart, Large, 1902465', 'AMMEX - ABNPF48100-BX - Medical Nitrile Gloves - Disposable, Powder Free, Exam Grade, 4 mil, XLarge, Black (Box of 100)', 'Vktech 100PCS 0.2ml Graduated Pipettes Dropper Polyethylene', 'Buytra Disposable 3ML Graduated Transfer Pipettes Eye Dropper Set 100 Pcs P.', 'Colgate Cavity Protection Toothpaste with Fluoride - 1 ounce (24 Pack)']","SEOH Micro Borosilicate Glass Graduated Beakers (5ml, 10ml and 25ml)","[2996, 122, 625, 240, 2629, 1731, 457, 1228, 2428, 124]",3036,"['<a_232><b_162><c_234>', '<a_106><b_60><c_163>', '<a_254><b_24><c_240>', '<a_165><b_161><c_62>', '<a_114><b_63><c_29>', '<a_79><b_82><c_59>', '<a_165><b_161><c_6>', '<a_106><b_171><c_129>', '<a_106><b_236><c_96>', '<a_232><b_195><c_188>']",<a_254><b_118><c_56>
24,A5579,"['Valterra 700-10 PVC Ball Valve, White, 1"" Slip', 'Madison Supply, Premium Quality Stainless Steel EMT Shears, Medical Trauma Scissors, (2-Pack)']","HBD Thermoid NBR/PVC SAE30R6 Fuel Line Hose, 3/8"" x 25' Length, 0.375"" ID, Black","[2738, 2921]",649,"['<a_2><b_4><c_125>', '<a_240><b_87><c_202>']",<a_120><b_206><c_24>
25,A5579,"['Valterra 700-10 PVC Ball Valve, White, 1"" Slip', 'Madison Supply, Premium Quality Stainless Steel EMT Shears, Medical Trauma Scissors, (2-Pack)', 'HBD Thermoid NBR/PVC SAE30R6 Fuel Line Hose, 3/8"" x 25\' Length, 0.375"" ID, Black']",PRO 1 Fuel Line Hose 5/16 Inch Inside Diameter X 25 Feet Length NRB/PVCC SAE30R6,"[2738, 2921, 649]",599,"['<a_2><b_4><c_125>', '<a_240><b_87><c_202>', '<a_120><b_206><c_24>']",<a_120><b_173><c_0>
26,A5579,"['Valterra 700-10 PVC Ball Valve, White, 1"" Slip', 'Madison Supply, Premium Quality Stainless Steel EMT Shears, Medical Trauma Scissors, (2-Pack)', 'HBD Thermoid NBR/PVC SAE30R6 Fuel Line Hose, 3/8"" x 25\' Length, 0.375"" ID, Black', 'PRO 1 Fuel Line Hose 5/16 Inch Inside Diameter X 25 Feet Length NRB/PVCC SAE30R6']",Install Bay Copper Ring Terminal 2 Gauge 5/16 Inch 10 Pack - CUR2516,"[2738, 2921, 649, 599]",612,"['<a_2><b_4><c_125>', '<a_240><b_87><c_202>', '<a_120><b_206><c_24>', '<a_120><b_173><c_0>']",<a_44><b_219><c_26>
27,A5674,"['Foreasy 3D Printer Tool 3D Print Removal Tool Enhanced Version Set of 2', 'Monoprice ABS 3D Printer Filament - White - 1kg Spool, 1.75mm Thick | For All ABS Compatible Printers', 'BuildTak 3D Printing Build Surface, 4.5"" x 4.5"" Square, Black (Pack of 3)']","3M Silver Foil Tape 3340, 2-1/2"" x 50 yd, 4.0 mil","[406, 1695, 1230]",1546,"['<a_135><b_27><c_48>', '<a_126><b_231><c_222>', '<a_93><b_40><c_104>']",<a_221><b_198><c_130>
28,A5674,"['Foreasy 3D Printer Tool 3D Print Removal Tool Enhanced Version Set of 2', 'Monoprice ABS 3D Printer Filament - White - 1kg Spool, 1.75mm Thick | For All ABS Compatible Printers', 'BuildTak 3D Printing Build Surface, 4.5"" x 4.5"" Square, Black (Pack of 3)', '3M Silver Foil Tape 3340, 2-1/2"" x 50 yd, 4.0 mil']","ProTapes Pro 950 Polyimide Film Tape, 7500V Dielectric Strength, 36 yds Length x 1/2"" Width (Pack of 1)","[406, 1695, 1230, 1546]",1042,"['<a_135><b_27><c_48>', '<a_126><b_231><c_222>', '<a_93><b_40><c_104>', '<a_221><b_198><c_130>']",<a_221><b_34><c_5>
29,A5674,"['Foreasy 3D Printer Tool 3D Print Removal Tool Enhanced Version Set of 2', 'Monoprice ABS 3D Printer Filament - White - 1kg Spool, 1.75mm Thick | For All ABS Compatible Printers', 'BuildTak 3D Printing Build Surface, 4.5"" x 4.5"" Square, Black (Pack of 3)', '3M Silver Foil Tape 3340, 2-1/2"" x 50 yd, 4.0 mil', 'ProTapes Pro 950 Polyimide Film Tape, 7500V Dielectric Strength, 36 yds Length x 1/2"" Width (Pack of 1)']","BuildTak 3D Printing Build Surface, 8"" x 10"" Rectangle, Black (Pack of 3)","[406, 1695, 1230, 1546, 1042]",2158,"['<a_135><b_27><c_48>', '<a_126><b_231><c_222>', '<a_93><b_40><c_104>', '<a_221><b_198><c_130>', '<a_221><b_34><c_5>']",<a_93><b_40><c_18>
30,A5792,"['XYZprinting ABS Plastic Filament Cartridge, 1.75 mm Diameter, 600g, Black', 'XYZprinting da Vinci 1.0 AiO All-in-One 3D Printer (Scan/Edit/Print)']","E3D All-metal v6 HotEnd Full Kit - 1.75mm Universal - Direct, 12v - Approximately 120mm PTFE (ASSEMBLY REQUIRED)","[876, 2502]",2016,"['<a_95><b_176><c_9>', '<a_29><b_68><c_172>']",<a_93><b_117><c_213>
31,A5792,"['XYZprinting ABS Plastic Filament Cartridge, 1.75 mm Diameter, 600g, Black', 'XYZprinting da Vinci 1.0 AiO All-in-One 3D Printer (Scan/Edit/Print)', 'E3D All-metal v6 HotEnd Full Kit - 1.75mm Universal - Direct, 12v - Approximately 120mm PTFE (ASSEMBLY REQUIRED)']","HATCHBOX PETG 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Orange","[876, 2502, 2016]",3046,"['<a_95><b_176><c_9>', '<a_29><b_68><c_172>', '<a_93><b_117><c_213>']",<a_126><b_171><c_80>
